sampleID	1	2	3	4	Subtype
TCGA-04-1348-01A-01R-1565-13	-0.175060764	-0.353456998	-0.097242571	0.565360666	ImmuneReactive
TCGA-04-1357-01A-01R-1565-13	-0.475551789	0.138032058	0.281328412	0.682923433	ImmuneReactive
TCGA-04-1362-01A-01R-1565-13	-0.027323827	-0.505992507	0.463092574	-0.208079745	Differentiated
TCGA-04-1364-01A-01R-1565-13	0.442146491	-0.600500028	-0.352854568	-0.719677192	Proliferative
TCGA-04-1365-01A-01R-1565-13	0.13185056	-0.399435294	-0.141984938	0.556086937	ImmuneReactive
TCGA-04-1514-01A-01R-1566-13	0.558109756	-0.426150055	-0.512969107	-0.739236881	Proliferative
TCGA-04-1519-01A-01R-1565-13	0.352140693	-0.589466964	0.360397983	-0.623044961	Differentiated
TCGA-09-0364-01A-02R-1564-13	0.514904646	-0.501952325	-0.63022076	-0.773694725	Proliferative
TCGA-09-0366-01A-01R-1564-13	-0.393841432	-0.287082536	0.214190688	0.504511187	ImmuneReactive
